dates,Year,Month,Births,Deaths,Rate (%)
1841-01-01,1841,January 1841,254,37,14.6
1841-02-01, ,February 1841,239,18,7.5
1841-03-01, ,March 1841,277,12,4.3
1841-04-01, ,April 1841,255,4,1.6
1841-05-01, ,May 1841,255,2,0.8
1841-06-01, ,June 1841,200,10,5.0
1841-07-01, ,July 1841,190,16,8.4
1841-08-01, ,August 1841,222,3,1.4
1841-09-01, ,September 1841,213,4,1.9
1841-10-01, ,October 1841,236,26,11.0
1841-11-01, ,November 1841,235,53,22.6
1841-12-01, ,December 1841,235,53,22.6
1842-01-01,1842,January 1842,307,64,20.8
1842-02-01, ,February 1842,311,38,12.2
1842-03-01, ,March 1842,264,27,10.2
1842-04-01, ,April 1842,242,26,10.7
1842-05-01, ,May 1842,310,10,3.2
1842-06-01, ,June 1842,273,18,6.6
1842-07-01, ,July 1842,231,48,20.8
1842-08-01, ,August 1842,216,55,25.5
1842-09-01, ,September 1842,223,41,18.4
1842-10-01, ,October 1842,242,71,29.3
1842-11-01, ,November 1842,209,48,23.0
1842-12-01, ,December 1842,239,75,31.4
1843-01-01,1843,January 1843,272,52,19.1
1843-02-01, ,February 1843,263,42,16.0
1843-03-01, ,March 1843,266,33,12.4
1843-04-01, ,April 1843,285,34,11.9
1843-05-01, ,May 1843,246,15,6.1
1843-06-01, ,June 1843,196,8,4.1
1843-07-01, ,July 1843,191,1,0.5
1843-08-01, ,August 1843,193,3,1.6
1843-09-01, ,September 1843,221,5,2.3
1843-10-01, ,October 1843,250,44,17.6
1843-11-01, ,November 1843,252,18,7.1
1843-12-01, ,December 1843,236,19,8.1
1844-01-01,1844,January 1844,244,37,15.2
1844-02-01, ,February 1844,257,29,11.3
1844-03-01, ,March 1844,276,47,17.0
1844-04-01, ,April 1844,208,36,17.3
1844-05-01, ,May 1844,240,14,5.8
1844-06-01, ,June 1844,224,6,2.7
1844-07-01, ,July 1844,206,9,4.4
1844-08-01, ,August 1844,269,17,6.3
1844-09-01, ,September 1844,245,3,1.2
1844-10-01, ,October 1844,248,8,3.2
1844-11-01, ,November 1844,245,27,11.0
1844-12-01, ,December 1844,256,27,10.5
1845-01-01,1845,January 1845,303,23,7.6
1845-02-01, ,February 1845,274,13,4.7
1845-03-01, ,March 1845,292,13,4.5
1845-04-01, ,April 1845,260,11,4.2
1845-05-01, ,May 1845,296,13,4.4
1845-06-01, ,June 1845,280,20,7.1
1845-07-01, ,July 1845,245,15,6.1
1845-08-01, ,August 1845,251,9,3.6
1845-09-01, ,September 1845,237,25,10.5
1845-10-01, ,October 1845,283,42,14.8
1845-11-01, ,November 1845,265,29,10.9
1845-12-01, ,December 1845,267,28,10.5
1846-01-01,1846,January 1846,336,45,13.4
1846-02-01, ,February 1846,293,53,18.1
1846-03-01, ,March 1846,311,48,15.4
1846-04-01, ,April 1846,253,48,19.0
1846-05-01, ,May 1846,305,41,13.4
1846-06-01, ,June 1846,266,27,10.2
1846-07-01, ,July 1846,252,33,13.1
1846-08-01, ,August 1846,216,39,18.1
1846-09-01, ,September 1846,271,39,14.4
1846-10-01, ,October 1846,254,38,15.0
1846-11-01, ,November 1846,297,32,10.8
1846-12-01, ,December 1846,298,16,5.4
1847-01-01,1847,January 1847,311,10,3.2
1847-02-01, ,February 1847,312,6,1.9
1847-03-01, ,March 1847,305,11,3.6
1847-04-01, ,April 1847,312,57,18.3
1847-05-01, ,May 1847,294,36,12.2
1847-06-01, ,June 1847,268,6,2.2
1847-07-01, ,July 1847,250,3,1.2
1847-08-01, ,August 1847,264,5,1.9
1847-09-01, ,September 1847,262,12,4.6
1847-10-01, ,October 1847,278,11,4.0
1847-11-01, ,November 1847,246,11,4.5
1847-12-01, ,December 1847,273,8,2.9
1848-01-01,1848,January 1848,283,10,3.5
1848-02-01, ,February 1848,291,2,0.7
1848-03-01, ,March 1848,276,0,0.0
1848-04-01, ,April 1848,305,2,0.7
1848-05-01, ,May 1848,313,3,1.0
1848-06-01, ,June 1848,264,3,1.1
1848-07-01, ,July 1848,269,1,0.4
1848-08-01, ,August 1848,261,0,0.0
1848-09-01, ,September 1848,312,3,1.0
1848-10-01, ,October 1848,299,7,2.3
1848-11-01, ,November 1848,310,9,2.9
1848-12-01,,December 1848,373,5,1.3
1849-01-01,1849,January 1849,403,9,2.2
1849-02-01,,February 1849,389,12,3.1
1849-03-01,,March 1849,406,20,4.9
